	BR	PCC_H	PCC_M2	PCC_S
AUC 1	0.58 +- 0.03	0.58 +- 0.03	0.57 +- 0.02	0.58 +- 0.02
AUC 2	0.61 +- 0.06	0.61 +- 0.06	0.62 +- 0.06	0.61 +- 0.05
AUC 3	0.55 +- 0.01	0.54 +- 0.01	0.53 +- 0.01	0.54 +- 0.01
H	0.15 +- 0.01	0.17 +- 0.01	0.19 +- 0.02	0.17 +- 0.02
H 1	0.21 +- 0.03	0.21 +- 0.03	0.24 +- 0.02	0.21 +- 0.03
H 2	0.045 +- 0.01	0.041 +- 0.007	0.041 +- 0.008	0.041 +- 0.006
H 3	0.2 +- 0.02	0.25 +- 0.01	0.29 +- 0.03	0.25 +- 0.03
P 1	0.79 +- 0.1	0.79 +- 0.1	0.79 +- 0.1	0.82 +- 0.1
P 2	0.91 +- 0.1	0.88 +- 0.1	0.91 +- 0.1	0.88 +- 0.1
P 3	0.76 +- 0.07	0.82 +- 0.09	0.78 +- 0.09	0.82 +- 0.08
R 1	0.17 +- 0.06	0.17 +- 0.06	0.15 +- 0.04	0.18 +- 0.05
R 2	0.22 +- 0.1	0.23 +- 0.1	0.24 +- 0.1	0.23 +- 0.1
R 3	0.1 +- 0.02	0.085 +- 0.02	0.071 +- 0.02	0.086 +- 0.02
S	0.32 +- 0.02	0.34 +- 0.02	0.46 +- 0.03	0.3 +- 0.03
